,columns,missing values count
0,Sensor - 1,1
1,Sensor - 2,3
2,Sensor - 3,13
3,Sensor - 4,13
4,Sensor - 5,13
5,Sensor - 6,13
6,Sensor - 7,13
7,Sensor - 8,8
8,Sensor - 9,2
9,Sensor - 10,2
10,Sensor - 11,2
11,Sensor - 12,2
12,Sensor - 13,2
13,Sensor - 14,3
14,Sensor - 15,3
15,Sensor - 16,3
16,Sensor - 17,3
17,Sensor - 18,3
18,Sensor - 19,3
19,Sensor - 20,0
20,Sensor - 21,0
21,Sensor - 22,1
22,Sensor - 23,1
23,Sensor - 24,1
24,Sensor - 25,1
25,Sensor - 26,1
26,Sensor - 27,1
27,Sensor - 28,1
28,Sensor - 29,1
29,Sensor - 30,1
30,Sensor - 31,1
31,Sensor - 32,1
32,Sensor - 33,0
33,Sensor - 34,0
34,Sensor - 35,0
35,Sensor - 36,0
36,Sensor - 37,0
37,Sensor - 38,0
38,Sensor - 39,0
39,Sensor - 40,0
40,Sensor - 41,14
41,Sensor - 42,14
42,Sensor - 43,0
43,Sensor - 44,0
44,Sensor - 45,0
45,Sensor - 46,0
46,Sensor - 47,0
47,Sensor - 48,0
48,Sensor - 49,0
49,Sensor - 50,0
50,Sensor - 51,0
51,Sensor - 52,0
52,Sensor - 53,0
53,Sensor - 54,1
54,Sensor - 55,1
55,Sensor - 56,1
56,Sensor - 57,1
57,Sensor - 58,1
58,Sensor - 59,1
59,Sensor - 60,5
60,Sensor - 61,5
61,Sensor - 62,5
62,Sensor - 63,5
63,Sensor - 64,5
64,Sensor - 65,5
65,Sensor - 66,5
66,Sensor - 67,5
67,Sensor - 68,5
68,Sensor - 69,5
69,Sensor - 70,5
70,Sensor - 71,5
71,Sensor - 72,5
72,Sensor - 73,530
73,Sensor - 74,530
74,Sensor - 75,5
75,Sensor - 76,24
76,Sensor - 77,24
77,Sensor - 78,24
78,Sensor - 79,24
79,Sensor - 80,24
80,Sensor - 81,24
81,Sensor - 82,24
82,Sensor - 83,24
83,Sensor - 84,1
84,Sensor - 85,2
85,Sensor - 86,611
86,Sensor - 87,0
87,Sensor - 88,0
88,Sensor - 89,0
89,Sensor - 90,51
90,Sensor - 91,51
91,Sensor - 92,5
92,Sensor - 93,2
93,Sensor - 94,2
94,Sensor - 95,5
95,Sensor - 96,5
96,Sensor - 97,5
97,Sensor - 98,5
98,Sensor - 99,5
99,Sensor - 100,5
100,Sensor - 101,5
101,Sensor - 102,5
102,Sensor - 103,5
103,Sensor - 104,2
104,Sensor - 105,2
105,Sensor - 106,5
106,Sensor - 107,5
107,Sensor - 108,5
108,Sensor - 109,5
109,Sensor - 110,288
110,Sensor - 111,288
111,Sensor - 112,288
